"Str1","Str2","Str3","freq"
"one","of","the",71
"a","lot","of",70
"i","want","to",43
"it","was","a",29
"part","of","the",29
"go","to","be",27
"to","be","a",27
"be","abl","to",26
"look","forward","to",25
"out","of","the",25
"some","of","the",25
"the","end","of",25
"as","well","as",21
"is","go","to",21
"there","is","no",21
"want","to","be",20
"this","is","the",19
"in","the","first",18
"in","the","world",18
"it","is","a",18
"as","much","as",17
"i","have","a",17
"thank","for","the",17
"the","first","time",17
"there","is","a",17
"this","is","a",17
"all","of","the",16
"are","go","to",16
"more","than","a",16
"one","of","my",16
"the","fact","that",16
"to","be","the",16
"to","make","a",16
"was","go","to",16
"end","of","the",15
"i","dont","know",15
"in","front","of",15
"need","to","be",15
"the","rest","of",15
"you","need","to",15
"at","the","time",14
"i","dont","think",14
"is","not","a",14
"thank","you","for",14
"the","unit","state",14
"the","univers","of",14
"to","see","you",14
"you","have","a",14
"you","have","to",14
"as","long","as",13
"becaus","of","the",13
"had","to","be",13
"i","have","to",13
"i","think","it",13
"im","go","to",13
"in","the","past",13
"it","is","not",13
"of","the","world",13
"of","the","year",13
"that","it","is",13
"to","do","it",13
"to","do","with",13
"to","get","to",13
"to","see","the",13
"we","have","a",13
"a","bit","of",12
"a","coupl","of",12
"accord","to","the",12
"for","the","first",12
"i","am","not",12
"i","have","been",12
"is","one","of",12
"not","go","to",12
"over","the","year",12
"that","i","was",12
"they","want","to",12
"to","get","the",12
"was","one","of",12
"when","i","was",12
"you","want","to",12
"a","year","old",11
"is","a","good",11
"it","come","to",11
"let","me","know",11
"member","of","the",11
"most","of","the",11
"of","the","most",11
"rest","of","the",11
"that","i","have",11
"that","is","the",11
"that","we","are",11
"the","new","york",11
"the","same","time",11
"the","size","of",11
"to","be","in",11
"to","get","a",11
"to","make","it",11
"when","it","come",11
"a","number","of",10
"and","if","you",10
"appear","to","be",10
"as","far","as",10
"at","the","same",10
"at","the","univers",10
"back","to","the",10
"for","me","to",10
"go","to","the",10
"how","do","you",10
"i","need","to",10
"i","went","to",10
"in","addit","to",10
"in","the","middl",10
"in","the","same",10
"in","the","state",10
"it","is","the",10
"seem","to","be",10
"side","of","the",10
"the","middl","of",10
"to","go","to",10
"to","keep","the",10
"to","make","sure",10
"to","make","the",10
"want","to","get",10
"and","i","am",9
"and","i","was",9
"and","tri","to",9
"at","the","end",9
"be","one","of",9
"go","to","get",9
"have","to","be",9
"i","had","a",9
"i","thought","i",9
"if","you","are",9
"in","the","countri",9
"in","the","second",9
"it","has","been",9
"it","was","just",9
"like","to","see",9
"more","of","a",9
"not","want","to",9
"of","the","first",9
"of","the","season",9
"that","is","a",9
"that","it","was",9
"the","amount","of",9
"to","have","a",9
"to","see","if",9
"will","have","to",9
